Feature,VIF
route_id,0.0
stop_sequence,1.3917333422528433
dwell_time,1.1466143736431778
travel_time_for_previous_section,1.348400946682912
scheduled_travel_time,2.315171405117234
upstream_stop_delay,2.3749233659775424
origin_delay,2.23690183382089
previous_bus_delay,1.1470770769500047
previous_trip_travel_time,5.558098781514334
traffic_condition,10.767179045656619
recurrent_delay,7.760659612314823
factor(weather)Light_Rain,inf
factor(weather)Light_Snow,inf
factor(weather)Normal,inf
factor(weather)Rain,inf
factor(weather)Snow,inf
factor(temperature)Cold,inf
factor(temperature)Extra_cold,inf
factor(temperature)Normal,inf
factor(day_of_week)weekday,inf
factor(day_of_week)weekend,inf
factor(time_of_day)Afternoon_peak,inf
factor(time_of_day)Morning_peak,inf
factor(time_of_day)Off-peak,inf
